,Game_name,Game_genre
87,War Room,"Simulation, Strategy, RTS, Action"
88,Realpolitiks II,"Strategy, Indie, Simulation, Political Sim"
89,Dieselpunk Wars,"Simulation, Indie, Action, Building"
90,Shenmue III,"Adventure, Action, Story Rich, Martial Arts"
91,CODE VEIN,"Souls-like, Anime, Character Customization, RPG"
92,ARK: Survival Evolved,"Open World Survival Craft, Survival, Open World, Multiplayer"
93,CODE VEIN,"Souls-like, Anime, Character Customization, RPG"
94,Sid Meier’s Civilization® VI,"Strategy, Turn-Based Strategy, Historical, Multiplayer"
95,Terminator: Resistance,"FPS, Post-apocalyptic, Choices Matter, RPG"
96,DAEMON X MACHINA,"Action, Mechs, Anime, Character Customization"
97,A Way Out,"Co-op, Online Co-Op, Local Co-Op, Action-Adventure"
98,Phantom Doctrine,"Turn-Based Tactics, Strategy, Cold War, Stealth"
99,The Sims™ 4,"Life Sim, Character Customization, Simulation, Building"
100,They Are Billions,"Colony Sim, Base Building, Strategy, Survival"
101,Cities: Skylines,"City Builder, Simulation, Building, Strategy"
102,Tropico 6,"Strategy, City Builder, Simulation, Economy"
103,FINAL FANTASY IV,"RPG, JRPG, Fantasy, Remake"
104,Kenshi,"Open World, Sandbox, RPG, Survival"
105,Cities: Skylines,"City Builder, Simulation, Building, Strategy"
106,ARK: Genesis Season Pass,"Adventure, Massively Multiplayer, Action, RPG"
107,Frostpunk,"Survival, City Builder, Strategy, Resource Management"
108,Planet Zoo,"Management, Simulation, Building, Nature"
109,Ancestors: The Humankind Odyssey,"Open World Survival Craft, Exploration, Adventure, Open World"
110,Transport Fever 2,"Simulation, Strategy, Management, City Builder"
111,Northgard,"City Builder, RTS, Strategy, Colony Sim"
112,ARK: Survival Evolved Season Pass,"Adventure, Survival, Action, Massively Multiplayer"
113,Planet Zoo,"Management, Simulation, Building, Nature"
114,Craftopia,"Open World, Crafting, Sandbox, Action"
115,Foundation,"City Builder, Strategy, Simulation, Medieval"
116,Crysis® 3,"Action, Shooter, Adventure, Multiplayer"
117,UBOAT,"Simulation, Strategy, Naval Combat, World War II"
118,Dawn of Man,"City Builder, Colony Sim, Strategy, Survival"
119,Anno 1404 - History Edition,"Strategy, Simulation, Building, City Builder"
120,Banished,"City Builder, Colony Sim, Strategy, Simulation"
121,Shadow Tactics: Blades of the Shogun,"Stealth, Strategy, Tactical, Ninja"
122,Sid Meier's Civilization® VI: Gathering Storm,"Strategy, Turn-Based, Multiplayer, Grand Strategy"
123,ROMANCE OF THE THREE KINGDOMS XIV,"Simulation, Strategy, Singleplayer, Historical"
124,Forager,"Open World Survival Craft, Survival, Crafting, Pixel Graphics"
125,Jurassic World Evolution,"Building, Dinosaurs, Simulation, Management"
126,Cities: Skylines - Sunset Harbor,"Strategy, Simulation, City Builder, Management"
127,Thief Simulator,"Simulation, Stealth, Adventure, Crime"
128,Car Mechanic Simulator 2018,"Simulation, Automobile Sim, Driving, Building"
129,Endzone - A World Apart,"Strategy, City Builder, Simulation, Survival"
130,Planet Coaster,"Simulation, Building, Family Friendly, Management"
